"CATEGORY","BIBTEXKEY","ADDRESS","ANNOTE","AUTHOR","BOOKTITLE","CHAPTER","CROSSREF","EDITION","EDITOR","HOWPUBLISHED","INSTITUTION","JOURNAL","KEY","MONTH","NOTE","NUMBER","ORGANIZATION","PAGES","PUBLISHER","SCHOOL","SERIES","TITLE","TYPE","VOLUME","YEAR","KEYWORDS","URL","URLDATE","SOURCEID","ISBN","LANGUAGE","ABSTRACT","ISSN","SHORTTITLE","COLLABORATOR","COPYRIGHT","DOI","CFN","CLASS_LOC","DELIVERED","DOCUMENT_TYPE","FN","HHTYPE","INLG","LGCODE","MACRO_AREA","MPI_EVA_LIBRARY_SHELF","OCLC","SRC","SUBJECT_HEADINGS","LOCATION","GLOTTO","EXTRA_HASH","ASJP_NAME","AIATSIS_CALLNUMBER","AIATSIS_CODE","AIATSIS_REFERENCE_LANGUAGE","LANGUAGEID","MPIFN","OZBIB_ID","OZBIBREFTYPE","PUBLICATION","COUNTRY","SIL_ID","SUBJECT","OTHER_EDITIONS","FNNOTE","VARIETY","BESTTXT","LCCN","FILENAMES","ISO_CODE","OLAC_FIELD","REFDB_ID","WALS_CODE","AUTHOR_STATEMENT","NUMBEROFPAGES","OZBIBNOTE","LANGNOTE","LGFAMILY","ZURICHCODE","ZURICHNOTE","GULDEMANN_LOCATION","THESISTYPE","NOSHAREFN","PLACE","ABSTRACTNOTE","COLLECTION","DISPLAY"
"INCOLLECTION","gerdel_paez_2015","Leipzig",NA,"Gerdel, Florence L.; Key, Mary Ritchie","The {Intercontinental} {Dictionary} {Series",NA,NA,NA,"Key, Mary Ritchie; Comrie, Bernard",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Max Planck Institute for Evolutionary Anthropology",NA,NA,"Páez",NA,NA,"2015","ETC, ISO11, kinbank, paez1247","http://ids.clld.org/contributions/244","2018-08-10","ISO11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gerdel & Key 2015"
"INCOLLECTION","clairis_qawasqar_2015","Leipzig",NA,"Clairis, Christos; Barros, José Pedro Viegas; Key, Mary Ritchie","The {Intercontinental} {Dictionary} {Series",NA,NA,NA,"Key, Mary Ritchie; Comrie, Bernard",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Max Planck Institute for Evolutionary Anthropology",NA,NA,"Qawasqar",NA,NA,"2015","ETC, KAW1, kinbank, qawa1238","http://ids.clld.org/contributions/313","2018-08-10","KAW1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clairis et al. 2015"
"ARTICLE","halpern_yuma_1942",NA,NA,"Halpern, A. M.",NA,NA,NA,NA,"NA",NA,NA,"American Anthropologist",NA,"July",NA,"3",NA,"425--441",NA,NA,NA,"Yuma {Kinship} {Terms",NA,"44","1942","CO01, kinbank, quec1382","http://doi.wiley.com/10.1525/aa.1942.44.3.02a00080","2019-02-28","CO01",NA,"en",NA,"0002-7294, 1548-1433",NA,NA,NA,"10.1525/aa.1942.44.3.02a00080",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Halpern 1942"
"ARTICLE","danielsson_tuamotuan_1953-1",NA,NA,"Danielsson, Bengt",NA,NA,NA,NA,"NA",NA,NA,"Ethnos",NA,"January",NA,"3-4",NA,"155--166",NA,NA,NA,"Tuamotuan kinship terms",NA,"18","1953","AUS31, SP, kinbank, tuam1242","http://dx.doi.org/10.1080/00141844.1953.9980769","2017-07-17","AUS31",NA,NA,NA,"0014-1844",NA,NA,NA,"10.1080/00141844.1953.9980769",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Danielsson 1953"
"INCOLLECTION","key_tuamotuan_2015","Leipzig",NA,"Key, Mary Ritchie; {various","The {Intercontinental} {Dictionary} {Series",NA,NA,NA,"Key, Mary Ritchie; Comrie, Bernard",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Max Planck Institute for Evolutionary Anthropology",NA,NA,"Tuamotuan",NA,NA,"2015","AUS64, JC, kinbank, tuam1242","https://ids.clld.org/contributions/241","2019-06-07","AUS64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Key & {various 2015"
"BOOK","elbert_two_1965-1",NA,NA,"Elbert, Samuel H.; Monberg, Torben",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Published by the University of Hawaii Press in cooperation with the Danish National Museum, Copenhagen",NA,NA,"From the two canoes: oral traditions of {Rennell} and {Bellona} {Islands",NA,"1","1965","AUS35, SP, kinbank, renn1242",NA,NA,"AUS35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Elbert & Monberg 1965"
"BOOK","monberg_bellona_1991",NA,NA,"Monberg, Torben",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,"Google-Books-ID: 1GVXOnu1Jf4C",NA,NA,NA,"University of Hawaii Press",NA,NA,"Bellona {Island}: {Beliefs} and {Rituals",NA,NA,"1991","AUS34, SP, Social Science / Ethnic Studies / General, kinbank, renn1242",NA,NA,"AUS34","978-0-8248-1147-1","en","Monberg\\&\\#39;s account of the Bellonese religion is descriptive ethnography at its best. It is rich in detail, and the organization of the material gives a coherent view of Bellonese culture and society. While not a comparative study in itself, it provides an abundance of data that will be invaluable for other works that are more comparative in nature. -from the Editor\\&\\#39;s NotePacific Islands Monograph Series No.9Center for Pacific Islands Studies, UH",NA,"Bellona {Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monberg 1991"
"BOOK","cuisenier_europe_1979","2514 GC] The Hague [Noordeinde 41",NA,"NA",NA,NA,NA,NA,"Cuisenier, Jean",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mouton",NA,"World anthropology","Europe as a cultural area",NA,NA,"1979","Congresses, Ethnology, Europe, IE55, MF, Social life and customs Congresses, kinbank, roma1327",NA,NA,"IE55","978-0-202-90086-5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA 1979"
"PHDTHESIS","fox_rotinese_1968-1",NA,NA,"Fox, James J.",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"University of Oxford",NA,"The {Rotinese}: a study of the social organisation of an eastern {Indonesian} people",NA,NA,"1968","AUS52, kinbank, term1237",NA,NA,"AUS52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fox 1968"
"BOOK","howard_learning_1970",NA,NA,"Howard, Alan",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Teachers College Press",NA,NA,"Learning to be {Rotuman}: enculturation in the {South} {Pacific",NA,NA,"1970","AUS22, SP, kinbank, rotu1241",NA,NA,"AUS22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Howard 1970"
"INCOLLECTION","key_rotuman_2015","Leipzig",NA,"Key, Mary Ritchie","The {Intercontinental} {Dictionary} {Series",NA,NA,NA,"Key, Mary Ritchie; Comrie, Bernard",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Max Planck Institute for Evolutionary Anthropology",NA,NA,"Rotuman",NA,NA,"2015","AUS61, JC, kinbank, rotu1241","https://ids.clld.org/contributions/239","2019-06-07","AUS61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Key 2015"
"MISC","osborne_degrees_1870",NA,NA,"Osborne, John",NA,NA,NA,NA,"NA",NA,NA,NA,NA,"May",NA,NA,NA,NA,NA,NA,NA,"Degrees of {Relationship} in the language of the {Rotuman} {Nation",NA,NA,"1870","AUS21, SP, kinbank, rotu1241",NA,NA,"AUS21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Osborne 1870"
"BOOK","delhaise_ethnographie_1908",NA,NA,"Delhaise, Charles",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ethnographie congolaise: chez les {Warundi} et les {Wahorohoro",NA,NA,"1908","AC110, LH, kinbank, rund1242",NA,NA,"AC110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Delhaise 1908"
"BOOK","rodegem_dictionnaire_1970",NA,NA,"Rodegem, Firmin M",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dictionnaire rundi-francais",NA,NA,"1970","AC119, LH, kinbank, rund1242",NA,NA,"AC119",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rodegem 1970"
"ARTICLE","noauthor_problems_1987",NA,NA,"NA",NA,NA,NA,NA,"NA",NA,NA,"Journal of Russian studies",NA,NA,NA,NA,NA,"37--45",NA,NA,NA,"Problems with the in-laws: the terminology of {Russian} family relationships",NA,"52","1987","IE61, indo1319, kinbank",NA,NA,"IE61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA 1987"
"MISC","thomascolquhoun_russian_2018",NA,NA,"Thomas-Colquhoun, Ewan",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"russian kinship terms from a speaker (russ1263)",NA,NA,"2018","IE503, JC, kinbank, russ1263",NA,NA,"IE503",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thomas-Colquhoun 2018"
"INCOLLECTION","khalilov_rutul_2015","Leipzig",NA,"Khalilov, Madzhid","The {Intercontinental} {Dictionary} {Series",NA,NA,NA,"Key, Mary Ritchie; Comrie, Bernard",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Max Planck Institute for Evolutionary Anthropology",NA,NA,"Rutul ({Shinaz} dialect)",NA,NA,"2015","ETC, ND3, kinbank, shin1265","http://ids.clld.org/contributions/530","2018-08-09","ND3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Khalilov 2015"
"BOOK","ivens_melanesians_1927",NA,NA,"Ivens, Walter George",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Routledge",NA,NA,"Melanesians of the {South}-{East} {Solomon} {Islands",NA,NA,"1927","AUS41, kinbank, saaa1240",NA,NA,"AUS41","1-351-33889-7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ivens 1927"
"BOOK","de_witte_taalstudie_1955",NA,NA,"De Witte, P",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taalstudie bij de {Basakata",NA,NA,"1955","AC87, LH, kinbank, saka1287",NA,NA,"AC87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"De Witte 1955"
"BOOK","mead_social_1930",NA,NA,"Mead, Margaret",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Social {Organization} of the {Manua",NA,NA,"1930","AUS36, SP, kinbank, samo1305",NA,NA,"AUS36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mead 1930"
"BOOK","pratt_grammar_1893",NA,NA,"Pratt, George",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"London Missionary Society",NA,NA,"A {Grammar} and {Dictionary} of the {Samoan} {Language}, with {English} and {Samoan} {Vocabulary",NA,NA,"1893","AUS13, SP, kinbank, samo1305",NA,NA,"AUS13",NA,"en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pratt 1893"
"BOOK","holman_bentley_appendix_1895",NA,NA,"Holman Bentley, W",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Appendix to the {Dictionary} and {Grammar} of the {Kongo} {Language}. {As} spoken at {San} {Salvador}, the {Ancient} {Capital} of the old {Kongo} {Empire}, {West} {Africa",NA,NA,"1895","AC99, LH, kinbank, sans1272",NA,NA,"AC99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holman Bentley 1895"
"INCOLLECTION","unruh_sanapana_2015","Leipzig",NA,"Unruh, Ernesto; Kalisch, Hannes; Key, Mary Ritchie","The {Intercontinental} {Dictionary} {Series",NA,NA,NA,"Key, Mary Ritchie; Comrie, Bernard",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Max Planck Institute for Evolutionary Anthropology",NA,NA,"Sanapaná ({Enlhet} dialect)",NA,NA,"2015","ETC, LM3, kinbank, sana1298","http://ids.clld.org/contributions/299","2018-08-10","LM3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unruh et al. 2015"
"BOOK","clarke_lubasanga_1911",NA,NA,"Clarke, J.A.",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Luba-{Sanga} grammar",NA,NA,"1911","AC134, LH, kinbank, sang1331",NA,NA,"AC134",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clarke 1911"
"MISC","idiata_sangu_nodate",NA,NA,"Idiata",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sangu {Wordlist",NA,NA,NA,"AC63, LH, kinbank, sang1330",NA,NA,"AC63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Idiata n.d."
"ARTICLE","bhargava_production_2009",NA,NA,"BHARGAVA, M.; LAMBEK, J.",NA,NA,NA,NA,"NA",NA,NA,"Theoretical Linguistics",NA,NA,NA,"1",NA,"45--60",NA,NA,NA,"A {PRODUCTION} {GRAMMAR} {FOR} {SANSKRIT} {KINSHIP} {TERMINOLOGY",NA,"18","2009","IE98, JC, kinbank, sans1272","https://www.degruyter.com/view/j/thli.1992.18.issue-1/thli.1992.18.1.45/thli.1992.18.1.45.xml","2019-06-21","IE98",NA,NA,NA,"1613-4060",NA,NA,NA,"10.1515/thli.1992.18.1.45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BHARGAVA & LAMBEK 2009"
"BOOK","rubattu_dizionario_2001",NA,NA,"Rubattu, Antoninu",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Edes",NA,NA,"Dizionario universale della lingua di {Sardegna",NA,NA,"2001","IC, IE85, kinbank, sard1257",NA,NA,"IE85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rubattu 2001"
"ARTICLE","leacock_maue_1973",NA,NA,"Leacock, Seth",NA,NA,NA,NA,"NA",NA,NA,"Journal of Anthropological Research",NA,"April",NA,"1",NA,"59--76",NA,NA,NA,"Maué {Kinship} and {Omaha} {Terminology",NA,"29","1973","JC, TP14, kinbank, sate1243","https://www.journals.uchicago.edu/doi/10.1086/jar.29.1.3629625","2019-06-18","TP14",NA,"en",NA,"0091-7710, 2153-3806",NA,NA,NA,"10.1086/jar.29.1.3629625",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Leacock 1973"
"INCOLLECTION","najlis_selknam_2015","Leipzig",NA,"Najlis, Elena L.; Key, Mary Ritchie","The {Intercontinental} {Dictionary} {Series",NA,NA,NA,"Key, Mary Ritchie; Comrie, Bernard",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Max Planck Institute for Evolutionary Anthropology",NA,NA,"Selknam",NA,NA,"2015","CH01, JC, kinbank, onaa1245","https://ids.clld.org/contributions/311","2019-06-07","CH01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Najlis & Key 2015"
"INCOLLECTION","gashilov_selkup_2015","Leipzig",NA,"Gashilov, Arkadiy I.; Klesment, Piret","The {Intercontinental} {Dictionary} {Series",NA,NA,NA,"Key, Mary Ritchie; Comrie, Bernard",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Max Planck Institute for Evolutionary Anthropology",NA,NA,"Selkup",NA,NA,"2015","ETC, UR9, kinbank, selk1253","http://ids.clld.org/contributions/151","2018-07-12","UR9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gashilov & Klesment 2015"
"ARTICLE","halpern_serbian_nodate",NA,NA,"Halpern, Joel; Kerewsky-Halpern, Barbara",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,"177",NA,NA,NA,"A {Serbian} {Village} in {Historical} {Perspective",NA,NA,NA,"IE65, JC, kinbank, serb1264",NA,NA,"IE65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Halpern & Kerewsky-Halpern n.d."
"BOOK","markotic_kinship_1968","Place of publication not identified",NA,"Markotic, Vladimir",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,"OCLC: 70590333",NA,NA,NA,"publisher not identified",NA,NA,"The kinship systems from {Yugoslavia",NA,NA,"1968","IE63, JC, kinbank, sout1528",NA,NA,"IE63",NA,"English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Markotic 1968"
"MISC","stankovic_russian_1998",NA,NA,"NA",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Русско-сербский словарь Станковича({Stankovic}'s {Russian}-{Serbian} {Dictionary})",NA,NA,NA,"ETC, IE504, kinbank, serb1264","https://docviewer.yandex.ru/view/0/?*=xHBjuuHwEYjInTSBkb3J0kURth17InVybCI6InlhLWRpc2stcHVibGljOi8vekhTa3pSMEFXZnAyMnlxbkw5T0w5QjlTbUpybmNia1paK3p6R0NtTDZHZz0iLCJ0aXRsZSI6ItCg0YPRgdGB0LrQvi3RgdC10YDQsdGB0LrQuNC5INGB0LvQvtCy0LDRgNGMINCh0YLQsNC90LrQvtCy0LjRh9CwLnBkZiIsInVpZCI6IjAiLCJ5dSI6IjcxOTg0ODEwNjE1MTE5MDEwNTIiLCJub2lmcmFtZSI6ZmFsc2UsInRzIjoxNTMxMTMyOTUwNTE2fQ\%3D\%3D","2018-07-09","IE504",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA n.d."
